ID,NAME,CODE,CATEGORY,PRICE,CURRENCY,COLOR,CREATED_AT,UPDATED_AT
p1,Classic_Crew_Tee,DLN-12511,T-Shirt,25,EUR,Turquoise,2021-05-12 09:18:00,2021-05-12 09:18:00
p2,Performance_Running_Tee,DLN-12512,T-Shirt,30,EUR,Black,2017-06-03 11:42:00,2017-06-03 11:42:00
p3,Data_Engineer_Shirt,DLN-12513,T-Shirt,30,EUR,Grey,2021-07-18 14:07:00,2021-08-05 10:22:00
p4,Classic_Crew_Hoodie,DLN-12514,Hoodie,55,EUR,Turquoise,2021-09-02 16:51:00,2021-09-28 09:35:00
p5,Performance_Running_Hoodie,DLN-12515,Hoodie,60,EUR,Grey,2022-01-11 08:26:00,2022-01-11 08:26:00
p6,Data_Engineer_Hoodie,DLN-12516,Hoodie,60,EUR,Grey,2022-02-04 12:44:00,2022-02-04 12:44:00
p7,Performance_Running_Short,DLN-12517,Short,30,EUR,Black,2022-03-19 15:09:00,2022-04-21 17:18:00
p8,Christmas_Socks,DLN-12518,Socks,30,EUR,White,2022-05-11 10:33:00,2022-05-11 10:33:00
p9,Data_Engineer_Windbreaker,DLN-12519,Jacket,80,EUR,Grey,2022-06-04 09:57:00,2022-06-29 14:41:00
p10,College_Jacket,DLN-12520,Jacket,100,EUR,Turquoise,2022-07-08 13:22:00,2022-07-08 13:22:00
p11,Data_Engineer_Mug,DLN-12521,Accessories,10,EUR,Grey,2022-08-19 11:06:00,2022-08-19 11:06:00
p12,Crew_Cap,DLN-12522,Accessories,15,EUR,Turquoise,2022-09-03 16:48:00,2022-09-26 10:12:00
